32   0.0 0.0 0
33 ! 0.359375 0.362548828 13
34 " 0.435302734 0.439697266 18
35 # 0.249511719 0.254882813 22
36 $ 0 0.005859375 24
37 % 0.121337891 0.127197266 24
38 & 0.121337891 0.127197266 24
39 ' 0.444580078 0.447753906 13
40 ( 0.022949219 0.02734375 18
41 ) 0.018310547 0.022705078 18
42 * 0.384277344 0.388671875 18
43 + 0.060302734 0.066162109 24
44 , 0.447998047 0.451171875 13
45 - 0.468261719 0.47265625 18
46 . 0.477539063 0.480712891 13
47 / 0.084716797 0.090576172 24
48 0 0.269042969 0.2734375 18
49 1 0.273681641 0.278076172 18
50 2 0.278320313 0.282714844 18
51 3 0.287597656 0.291992188 18
52 4 0.306152344 0.310546875 18
53 5 0.333984375 0.338378906 18
54 6 0.343261719 0.34765625 18
55 7 0.264404297 0.268798828 18
56 8 0.347900391 0.352294922 18
57 9 0.255126953 0.259521484 18
58 : 0.352539063 0.355712891 13
59 ; 0.044677734 0.047851563 13
60 < 0.388916016 0.393310547 18
61 = 0.259765625 0.264160156 18
62 > 0.398193359 0.402587891 18
63 ? 0.109130859 0.114990234 24
64 @ 0.115234375 0.12109375 24
65 A 0.127441406 0.133300781 24
66 B 0.133544922 0.139404297 24
67 C 0.096923828 0.102783203 24
68 D 0.048095703 0.053955078 24
69 E 0.06640625 0.072265625 24
70 F 0.218994141 0.224853516 24
71 G 0.139648438 0.145507813 24
72 H 0.145751953 0.151611328 24
73 I 0.151855469 0.157714844 24
74 J 0.157958984 0.163818359 24
75 K 0.1640625 0.169921875 24
76 L 0.225097656 0.230957031 24
77 M 0.054199219 0.060058594 24
78 N 0.090820313 0.096679688 24
79 O 0.103027344 0.108886719 24
80 P 0.200683594 0.206542969 24
81 Q 0.212890625 0.21875 24
82 R 0.078613281 0.084472656 24
83 S 0.072509766 0.078369141 24
84 T 0.237304688 0.243164063 24
85 U 0.170166016 0.176025391 24
86 V 0.176269531 0.182128906 24
87 W 0.182373047 0.188232422 24
88 X 0.243408203 0.249267578 24
89 Y 0.188476563 0.194335938 24
90 Z 0.194580078 0.200439453 24
91 [ 0.032226563 0.036621094 18
92 \ 0.206787109 0.212646484 24
93 ] 0.027587891 0.031982422 18
94 ^ 0.472900391 0.477294922 18
95 _ 0.451416016 0.457275391 24
96 ` 0.463623047 0.468017578 18
97 a 0.412109375 0.416503906 18
98 b 0.282958984 0.287353516 18
99 c 0.430664063 0.435058594 18
100 d 0.320068359 0.324462891 18
101 e 0.439941406 0.444335938 18
102 f 0.292236328 0.296630859 18
103 g 0.296875 0.301269531 18
104 h 0.301513672 0.305908203 18
105 i 0.355957031 0.359130859 13
106 j 0.040283203 0.044433594 17
107 k 0.310791016 0.315185547 18
108 l 0.315429688 0.319824219 18
109 m 0.368896484 0.374755859 24
110 n 0.375 0.379394531 18
111 o 0.379638672 0.384033203 18
112 p 0.324707031 0.329101563 18
113 q 0.329345703 0.333740234 18
114 r 0.393554688 0.397949219 18
115 s 0.421386719 0.42578125 18
116 t 0.231201172 0.237060547 24
117 u 0.402832031 0.407226563 18
118 v 0.407470703 0.411865234 18
119 w 0.362792969 0.368652344 24
120 x 0.416748047 0.421142578 18
121 y 0.338623047 0.343017578 18
122 z 0.426025391 0.430419922 18
123 { 0.012207031 0.018066406 24
124 | 0.036865234 0.040039063 13
125 } 0.006103516 0.011962891 24
126 ~ 0.457519531 0.463378906 24
