32   0.0 0.0 0
33 ! 0.62109375 0.624023438 3
34 " 0.865234375 0.870117188 5
35 # 0.409179688 0.418945313 10
36 $ 0.078125 0.086914063 9
37 % 0.182617188 0.1953125 13
38 & 0.09765625 0.111328125 14
39 ' 0.862304688 0.864257813 2
40 ( 0.021484375 0.028320313 7
41 ) 0.029296875 0.036132813 7
42 * 0.842773438 0.848632813 6
43 + 0.8359375 0.841796875 6
44 , 0.849609375 0.852539063 3
45 - 0.896484375 0.899414063 3
46 . 0.87890625 0.881835938 3
47 / 0.012695313 0.020507813 8
48 0 0.65234375 0.661132813 9
49 1 0.662109375 0.669921875 8
50 2 0.642578125 0.651367188 9
51 3 0.525390625 0.534179688 9
52 4 0.087890625 0.096679688 9
53 5 0.57421875 0.58203125 8
54 6 0.53515625 0.543945313 9
55 7 0.544921875 0.553710938 9
56 8 0.625 0.633789063 9
57 9 0.5546875 0.563476563 9
58 : 0.823242188 0.826171875 3
59 ; 0.6171875 0.620117188 3
60 < 0.6796875 0.686523438 7
61 = 0.853515625 0.861328125 8
62 > 0.670898438 0.678710938 8
63 ? 0.583007813 0.58984375 7
64 @ 0.237304688 0.249023438 12
65 A 0.141601563 0.154296875 13
66 B 0.397460938 0.408203125 11
67 C 0.374023438 0.384765625 11
68 D 0.275390625 0.287109375 12
69 E 0.419921875 0.4296875 10
70 F 0.362304688 0.373046875 11
71 G 0.30078125 0.3125 12
72 H 0.155273438 0.16796875 13
73 I 0.59765625 0.603515625 6
74 J 0.452148438 0.461914063 10
75 K 0.168945313 0.181640625 13
76 L 0.430664063 0.440429688 10
77 M 0.126953125 0.140625 14
78 N 0.209960938 0.22265625 13
79 O 0.262695313 0.274414063 12
80 P 0.44140625 0.451171875 10
81 Q 0 0.01171875 12
82 R 0.288085938 0.299804688 12
83 S 0.505859375 0.514648438 9
84 T 0.338867188 0.349609375 11
85 U 0.223632813 0.236328125 13
86 V 0.196289063 0.208984375 13
87 W 0.112304688 0.125976563 14
88 X 0.25 0.26171875 12
89 Y 0.313476563 0.325195313 12
90 Z 0.350585938 0.361328125 11
91 [ 0.064453125 0.069335938 5
92 \ 0.037109375 0.043945313 7
93 ] 0.05859375 0.063476563 5
94 ^ 0.827148438 0.834960938 8
95 _ 0.8828125 0.890625 8
96 ` 0.891601563 0.895507813 4
97 a 0.760742188 0.76953125 9
98 b 0.462890625 0.47265625 10
99 c 0.780273438 0.788085938 8
100 d 0.564453125 0.573242188 9
101 e 0.797851563 0.805664063 8
102 f 0.590820313 0.596679688 6
103 g 0.515625 0.524414063 9
104 h 0.385742188 0.396484375 11
105 i 0.611328125 0.616210938 5
106 j 0.0703125 0.07421875 4
107 k 0.326171875 0.337890625 12
108 l 0.604492188 0.610351563 6
109 m 0.6875 0.701171875 14
110 n 0.728515625 0.73828125 10
111 o 0.7890625 0.796875 8
112 p 0.473632813 0.483398438 10
113 q 0.484375 0.494140625 10
114 r 0.770507813 0.779296875 9
115 s 0.815429688 0.822265625 7
116 t 0.634765625 0.641601563 7
117 u 0.716796875 0.727539063 11
118 v 0.739257813 0.749023438 10
119 w 0.702148438 0.715820313 14
120 x 0.75 0.759765625 10
121 y 0.495117188 0.504882813 10
122 z 0.806640625 0.814453125 8
123 { 0.044921875 0.05078125 6
124 | 0.075195313 0.077148438 2
125 } 0.051757813 0.057617188 6
126 ~ 0.87109375 0.877929688 7
