32   0 0 3
33 ! 0.591796875 0.594726563 6
34 " 0.822265625 0.827148438 10
35 # 0.391113281 0.400878906 20
36 $ 0.072753906 0.081542969 18
37 % 0.173339844 0.186035156 26
38 & 0.091308594 0.104980469 28
39 ' 0.819824219 0.821777344 4
40 ( 0.020507813 0.02734375 14
41 ) 0.027832031 0.034667969 14
42 * 0.801757813 0.807617188 12
43 + 0.795410156 0.801269531 12
44 , 0.808105469 0.811035156 6
45 - 0.851074219 0.854003906 6
46 . 0.834960938 0.837890625 6
47 / 0.012207031 0.020019531 16
48 0 0.62109375 0.629882813 18
49 1 0.630371094 0.638183594 16
50 2 0.611816406 0.620605469 18
51 3 0.501953125 0.510742188 18
52 4 0.08203125 0.090820313 18
53 5 0.548339844 0.556152344 16
54 6 0.511230469 0.520019531 18
55 7 0.520507813 0.529296875 18
56 8 0.595214844 0.604003906 18
57 9 0.529785156 0.538574219 18
58 : 0.783691406 0.786621094 6
59 ; 0.588378906 0.591308594 6
60 < 0.646972656 0.653808594 14
61 = 0.811523438 0.819335938 16
62 > 0.638671875 0.646484375 16
63 ? 0.556640625 0.563476563 14
64 @ 0.226074219 0.237792969 24
65 A 0.133789063 0.146484375 26
66 B 0.379882813 0.390625 22
67 C 0.357421875 0.368164063 22
68 D 0.262695313 0.274414063 24
69 E 0.401367188 0.411132813 20
70 F 0.346191406 0.356933594 22
71 G 0.287109375 0.298828125 24
72 H 0.146972656 0.159667969 26
73 I 0.5703125 0.576171875 12
74 J 0.432128906 0.441894531 20
75 K 0.16015625 0.172851563 26
76 L 0.411621094 0.421386719 20
77 M 0.119628906 0.133300781 28
78 N 0.199707031 0.212402344 26
79 O 0.250488281 0.262207031 24
80 P 0.421875 0.431640625 20
81 Q 0 0.01171875 24
82 R 0.274902344 0.286621094 24
83 S 0.483398438 0.4921875 18
84 T 0.323730469 0.334472656 22
85 U 0.212890625 0.225585938 26
86 V 0.186523438 0.19921875 26
87 W 0.10546875 0.119140625 28
88 X 0.23828125 0.25 24
89 Y 0.299316406 0.311035156 24
90 Z 0.334960938 0.345703125 22
91 [ 0.060546875 0.065429688 10
92 \ 0.03515625 0.041992188 14
93 ] 0.055175781 0.060058594 10
94 ^ 0.787109375 0.794921875 16
95 _ 0.838378906 0.846191406 16
96 ` 0.846679688 0.850585938 8
97 a 0.724609375 0.733398438 18
98 b 0.442382813 0.452148438 20
99 c 0.743164063 0.750976563 16
100 d 0.5390625 0.547851563 18
101 e 0.759765625 0.767578125 16
102 f 0.563964844 0.569824219 12
103 g 0.492675781 0.501464844 18
104 h 0.368652344 0.379394531 22
105 i 0.583007813 0.587890625 10
106 j 0.065917969 0.069824219 8
107 k 0.311523438 0.323242188 24
108 l 0.576660156 0.582519531 12
109 m 0.654296875 0.66796875 28
110 n 0.693847656 0.703613281 20
111 o 0.751464844 0.759277344 16
112 p 0.452636719 0.462402344 20
113 q 0.462890625 0.47265625 20
114 r 0.733886719 0.742675781 18
115 s 0.776367188 0.783203125 14
116 t 0.604492188 0.611328125 14
117 u 0.682617188 0.693359375 22
118 v 0.704101563 0.713867188 20
119 w 0.668457031 0.682128906 28
120 x 0.714355469 0.724121094 20
121 y 0.473144531 0.482910156 20
122 z 0.768066406 0.775878906 16
123 { 0.042480469 0.048339844 12
124 | 0.0703125 0.072265625 4
125 } 0.048828125 0.0546875 12
126 ~ 0.827636719 0.834472656 14
